State,Count
Texas,18321
Iowa,6284
Oklahoma,5344
Kansas,3927
California,3857
Illinois,3557
Colorado,2822
Minnesota,2700
Oregon,2113
North Dakota,2086
New Mexico,1923
Washington,1822
Michigan,1637
Indiana,1602
Nebraska,1480
Wyoming,1358
South Dakota,1327
New York,1259
Missouri,1081
Montana,795
Pennsylvania,751
Idaho,541
Ohio,491
Wisconsin,478
West Virginia,419
Maine,416
Arizona,324
Utah,205
Hawaii,127
Alaska,117
North Carolina,104
Massachusetts,91
New Hampshire,84
Maryland,80
Vermont,73
Nevada,66
Puerto Rico,60
Rhode Island,30
Tennessee,18
New Jersey,6
Connecticut,3
Arkansas,1
Delaware,1
